Reference, Quantity, Value, Footprint, Datasheet
C1 C2 C3 ,3,"100n","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
C4 C5 ,2,"9p","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
C6 C7 ,2,"10µ","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
D1 ,1,"LED Red","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
IC1 ,1,"ATMEGA328P-A","Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm",""
IC2 ,1,"CC1101","Modules:CC1101_Module",""
J2 J1 ,2,"Conn_01x03_Female","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
JP1 ,1,"Jumper_NO_Small","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",""
L1 ,1,"10µH","Inductor_SMD:L_1812_4532Metric_Pad1.30x3.40mm_HandSolder","https://de.aliexpress.com/item/32845690258.html"
P3 ,1,"ANT","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.00mm",""
P4 ,1,"ISP Bottom","Modules:Pin_Header_Straight_1x05_Pitch2.54mm_SMD_BySide",""
P5 ,1,"ISP Top","Modules:Pin_Header_Straight_1x05_Pitch2.54mm_SMD_BySide",""
Q1 ,1,"TSM2302","Package_TO_SOT_SMD:SOT-23","http://www.farnell.com/datasheets/1945672.pdf"
R1 ,1,"10k","Resistors_SMD:R_0805_HandSoldering",""
R2 ,1,"1k5","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
R3 ,1,"100","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
R4 ,1,"470k","Resistors_SMD:R_0805_HandSoldering",""
R5 ,1,"100k","Resistors_SMD:R_0805_HandSoldering",""
R6 ,1,"10k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
SW1 ,1,"Reset","Buttons_Switches_SMD:SW_SPST_FSMSM",""
SW2 ,1,"Config","Buttons_Switches_SMD:SW_SPST_FSMSM",""
U1 ,1,"MAX1724","Package_TO_SOT_SMD:TSOT-23-5","https://de.aliexpress.com/item/32353066414.html"
Y1 ,1,"Crystal","Crystal:Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm_HandSoldering","https://www.reichelt.de/uhrenquarz-keramikgeh-1-5x3-2x0-9mm-9pf-32-768-cc7v-9-p85050.html?fbclid=IwAR1NOKLR5eaDOorocWb7b7tomWoy4WKV_-ECBeArBs3kTFM5IuQnotsBz80"
